ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
0.65 0.65 1393.05 0 0 0 
1.95 0.65 1397.22 0 0 0 
3.25 0.65 1391.95 0 0 0 
4.55 0.65 1439.47 0 0 0 
5.85 0.65 1413.15 0 0 0 
7.15 0.65 1405.65 0 0 0 
8.45 0.65 1386.2 0 0 0 
9.75 0.65 1390.72 0 0 0 
11.05 0.65 1395.64 0 0 0 
12.35 0.65 1368.4 0 0 0 
13.65 0.65 1378.88 0 0 0 
14.95 0.65 1385.84 0 0 0 
16.25 0.65 1434.31 0 0 0 
17.55 0.65 1408.99 0 0 0 
18.85 0.65 1412.85 0 0 0 
0.65 1.95 1401.52 0 0 0 
1.95 1.95 1434.45 0 0 0 
3.25 1.95 1398.88 0 0 0 
4.55 1.95 1441.82 0 0 0 
5.85 1.95 1427 0 0 0 
7.15 1.95 1381.73 0 0 0 
8.45 1.95 1396.54 0 0 0 
9.75 1.95 1377.21 0 0 0 
11.05 1.95 1414.05 0 0 0 
12.35 1.95 1382.95 0 0 0 
13.65 1.95 1413.69 0 0 0 
14.95 1.95 1386.89 0 0 0 
16.25 1.95 1402.53 0 0 0 
17.55 1.95 1344.37 0 0 0 
18.85 1.95 1381.95 0 0 0 
0.65 3.25 1411.88 0 0 0 
1.95 3.25 1395.54 0 0 0 
3.25 3.25 1417.25 0 0 0 
4.55 3.25 1383.92 0 0 0 
5.85 3.25 1438.67 0 0 0 
7.15 3.25 1391.77 0 0 0 
8.45 3.25 1391.5 0 0 0 
9.75 3.25 1398.88 0 0 0 
11.05 3.25 1410.69 0 0 0 
12.35 3.25 1419.06 0 0 0 
13.65 3.25 1409.27 0 0 0 
14.95 3.25 1413.78 0 0 0 
16.25 3.25 1382.6 0 0 0 
17.55 3.25 1435.33 0 0 0 
18.85 3.25 1409.93 0 0 0 
0.65 4.55 1391.01 0 0 0 
1.95 4.55 1413.57 0 0 0 
3.25 4.55 1378.15 0 0 0 
4.55 4.55 1418.16 0 0 0 
5.85 4.55 1392.4 0 0 0 
7.15 4.55 1413.62 0 0 0 
8.45 4.55 1396.33 0 0 0 
9.75 4.55 1394.84 0 0 0 
11.05 4.55 1394.7 0 0 0 
12.35 4.55 1400.57 0 0 0 
13.65 4.55 1361.06 0 0 0 
14.95 4.55 1385.69 0 0 0 
16.25 4.55 1400.58 0 0 0 
17.55 4.55 1381.07 0 0 0 
18.85 4.55 1411.52 0 0 0 
0.65 5.85 1396.07 0 0 0 
1.95 5.85 1384.48 0 0 0 
3.25 5.85 1396.19 0 0 0 
4.55 5.85 1426.58 0 0 0 
5.85 5.85 1398.85 0 0 0 
7.15 5.85 1410.26 0 0 0 
8.45 5.85 1367.59 0 0 0 
9.75 5.85 1390.61 0 0 0 
11.05 5.85 1372.64 0 0 0 
12.35 5.85 1401.52 0 0 0 
13.65 5.85 1378.28 0 0 0 
14.95 5.85 1413.37 0 0 0 
16.25 5.85 1430.56 0 0 0 
17.55 5.85 1380.99 0 0 0 
18.85 5.85 1421.75 0 0 0 
0.65 7.15 1411.69 0 0 0 
1.95 7.15 1421.83 0 0 0 
3.25 7.15 1395.69 0 0 0 
4.55 7.15 1393.63 0 0 0 
5.85 7.15 1385.18 0 0 0 
7.15 7.15 1374.65 0 0 0 
8.45 7.15 1414.8 0 0 0 
9.75 7.15 1411.6 0 0 0 
11.05 7.15 1361.33 0 0 0 
12.35 7.15 1385.5 0 0 0 
13.65 7.15 1396.41 0 0 0 
14.95 7.15 1386.06 0 0 0 
16.25 7.15 1382.98 0 0 0 
17.55 7.15 1414.75 0 0 0 
18.85 7.15 1409.2 0 0 0 
0.65 8.45 1423.6 0 0 0 
1.95 8.45 1410.55 0 0 0 
3.25 8.45 1426.89 0 0 0 
4.55 8.45 1376.08 0 0 0 
5.85 8.45 1397.56 0 0 0 
7.15 8.45 1402.5 0 0 0 
8.45 8.45 1360.63 0 0 0 
9.75 8.45 1431.74 0 0 0 
11.05 8.45 1366.89 0 0 0 
12.35 8.45 1423.05 0 0 0 
13.65 8.45 1390.67 0 0 0 
14.95 8.45 1364.36 0 0 0 
16.25 8.45 1400.41 0 0 0 
17.55 8.45 1384.77 0 0 0 
18.85 8.45 1412.45 0 0 0 
0.65 9.75 1385.14 0 0 0 
1.95 9.75 1390.5 0 0 0 
3.25 9.75 1414.48 0 0 0 
4.55 9.75 1371.63 0 0 0 
5.85 9.75 1382.52 0 0 0 
7.15 9.75 1409.2 0 0 0 
8.45 9.75 1379.65 0 0 0 
9.75 9.75 1418.36 0 0 0 
11.05 9.75 1412.69 0 0 0 
12.35 9.75 1422.19 0 0 0 
13.65 9.75 1410.14 0 0 0 
14.95 9.75 1421.96 0 0 0 
16.25 9.75 1444.98 0 0 0 
17.55 9.75 1393.28 0 0 0 
18.85 9.75 1430.01 0 0 0 
0.65 11.05 1389.11 0 0 0 
1.95 11.05 1408.05 0 0 0 
3.25 11.05 1384.6 0 0 0 
4.55 11.05 1366.24 0 0 0 
5.85 11.05 1404.38 0 0 0 
7.15 11.05 1417.66 0 0 0 
8.45 11.05 1395 0 0 0 
9.75 11.05 1410.1 0 0 0 
11.05 11.05 1375.7 0 0 0 
12.35 11.05 1402.49 0 0 0 
13.65 11.05 1412.19 0 0 0 
14.95 11.05 1381.23 0 0 0 
16.25 11.05 1410.55 0 0 0 
17.55 11.05 1387.69 0 0 0 
18.85 11.05 1393.22 0 0 0 
0.65 12.35 1409.24 0 0 0 
1.95 12.35 1412.68 0 0 0 
3.25 12.35 1452.33 0 0 0 
4.55 12.35 1436.82 0 0 0 
5.85 12.35 1405.41 0 0 0 
7.15 12.35 1388.92 0 0 0 
8.45 12.35 1395.15 0 0 0 
9.75 12.35 1411.25 0 0 0 
11.05 12.35 1416.99 0 0 0 
12.35 12.35 1395.81 0 0 0 
13.65 12.35 1388.2 0 0 0 
14.95 12.35 1436.87 0 0 0 
16.25 12.35 1354.65 0 0 0 
17.55 12.35 1391.6 0 0 0 
18.85 12.35 1397.48 0 0 0 
0.65 13.65 1402.33 0 0 0 
1.95 13.65 1395.5 0 0 0 
3.25 13.65 1408.08 0 0 0 
4.55 13.65 1417.91 0 0 0 
5.85 13.65 1402.75 0 0 0 
7.15 13.65 1416.27 0 0 0 
8.45 13.65 1387.11 0 0 0 
9.75 13.65 1409.67 0 0 0 
11.05 13.65 1395.42 0 0 0 
12.35 13.65 1382.75 0 0 0 
13.65 13.65 1386.89 0 0 0 
14.95 13.65 1421.64 0 0 0 
16.25 13.65 1422.77 0 0 0 
17.55 13.65 1372.88 0 0 0 
18.85 13.65 1361.23 0 0 0 
0.65 14.95 1398.76 0 0 0 
1.95 14.95 1397.27 0 0 0 
3.25 14.95 1382.88 0 0 0 
4.55 14.95 1427.69 0 0 0 
5.85 14.95 1412.17 0 0 0 
7.15 14.95 1386.64 0 0 0 
8.45 14.95 1373.94 0 0 0 
9.75 14.95 1398.85 0 0 0 
11.05 14.95 1408.9 0 0 0 
12.35 14.95 1368.59 0 0 0 
13.65 14.95 1369.87 0 0 0 
14.95 14.95 1358.24 0 0 0 
16.25 14.95 1383.45 0 0 0 
17.55 14.95 1394.61 0 0 0 
18.85 14.95 1418.38 0 0 0 
0.65 16.25 1400.65 0 0 0 
1.95 16.25 1360.57 0 0 0 
3.25 16.25 1400.98 0 0 0 
4.55 16.25 1437.37 0 0 0 
5.85 16.25 1391.09 0 0 0 
7.15 16.25 1404.53 0 0 0 
8.45 16.25 1440.31 0 0 0 
9.75 16.25 1419.16 0 0 0 
11.05 16.25 1400.43 0 0 0 
12.35 16.25 1414.12 0 0 0 
13.65 16.25 1395.32 0 0 0 
14.95 16.25 1387.77 0 0 0 
16.25 16.25 1361.74 0 0 0 
17.55 16.25 1369.03 0 0 0 
18.85 16.25 1417.35 0 0 0 
0.65 17.55 1378.82 0 0 0 
1.95 17.55 1386.67 0 0 0 
3.25 17.55 1402.55 0 0 0 
4.55 17.55 1384.21 0 0 0 
5.85 17.55 1413.71 0 0 0 
7.15 17.55 1413.45 0 0 0 
8.45 17.55 1376.42 0 0 0 
9.75 17.55 1374.72 0 0 0 
11.05 17.55 1417.9 0 0 0 
12.35 17.55 1417.73 0 0 0 
13.65 17.55 1401.67 0 0 0 
14.95 17.55 1397.26 0 0 0 
16.25 17.55 1400.51 0 0 0 
17.55 17.55 1369.45 0 0 0 
18.85 17.55 1387.07 0 0 0 
0.65 18.85 1407.86 0 0 0 
1.95 18.85 1372.12 0 0 0 
3.25 18.85 1404.2 0 0 0 
4.55 18.85 1412.87 0 0 0 
5.85 18.85 1354.78 0 0 0 
7.15 18.85 1382.96 0 0 0 
8.45 18.85 1396.92 0 0 0 
9.75 18.85 1385.1 0 0 0 
11.05 18.85 1387.78 0 0 0 
12.35 18.85 1425.4 0 0 0 
13.65 18.85 1401.78 0 0 0 
14.95 18.85 1395.25 0 0 0 
16.25 18.85 1385.46 0 0 0 
17.55 18.85 1401.96 0 0 0 
18.85 18.85 1415.37 0 0 0 
ITEM: TIMESTEP
500
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
0.671706 0.6651 1263.57 0 0 0 
1.97392 0.655941 1270.6 0 0 0 
3.27556 0.656714 1266.79 0 0 0 
4.55728 0.656153 1310.33 0 0 0 
5.86811 0.655183 1288.29 0 0 0 
7.16699 0.661207 1282.79 0 0 0 
8.47211 0.664899 1267.27 0 0 0 
9.76663 0.668488 1273.37 0 0 0 
11.0716 0.660106 1281.81 0 0 0 
12.3774 0.667393 1261.2 0 0 0 
13.675 0.664942 1275.6 0 0 0 
14.9692 0.665807 1287.33 0 0 0 
16.2636 0.650282 1338.29 0 0 0 
17.5752 0.656379 1325.01 0 0 0 
18.8568 0.658932 1335.12 0 0 0 
0.673423 1.95389 1271.18 0 0 0 
1.96029 1.95525 1303.31 0 0 0 
3.27506 1.95171 1272.46 0 0 0 
4.55734 1.95484 1311.62 0 0 0 
5.87109 1.94002 1300.71 0 0 0 
7.17725 1.96032 1260.21 0 0 0 
8.47259 1.95818 1275.41 0 0 0 
9.7774 1.96266 1260.21 0 0 0 
